clan_id,ime,prezime,pol,datum_rodjenja,email,datum_uclanjenja
38,Jelena,Petrović,Ž,1980-10-25,clan-38@seds.data,2016-04-26
39,Tamara,Ilić,Ž,1998-06-11,clan-39@seds.data,2018-01-06
40,Milan,Ilić,M,1980-12-20,clan-40@seds.data,2016-12-27
43,Ana,Marković,Ž,1990-03-23,clan-43@seds.data,2016-05-05
44,Marko,Petrović,M,1980-04-14,clan-44@seds.data,2016-05-23
45,Jelena,Marković,Ž,1990-10-13,clan-45@seds.data,2017-02-02
46,Stefan,Marković,M,1990-01-18,clan-46@seds.data,2016-06-26
47,Tamara,Stojanović,Ž,1998-02-03,clan-47@seds.data,2016-01-21
48,Ana,Petrović,Ž,1998-11-11,clan-48@seds.data,2016-06-07
49,Jelena,Marković,Ž,1998-12-24,clan-49@seds.data,2017-01-11
50,Ana,Petrović,Ž,1970-02-19,clan-50@seds.data,2019-07-27
51,Tamara,Ilić,Ž,1998-08-12,clan-51@seds.data,2017-12-28
53,Milica,Petrović,Ž,1990-08-31,clan-53@seds.data,2017-09-14
54,Tamara,Stojanović,Ž,1980-01-27,clan-54@seds.data,2017-11-03
55,Marko,Marković,M,1970-01-29,clan-55@seds.data,2017-12-19
56,Ana,Petrović,Ž,1998-12-27,clan-56@seds.data,2017-03-08
57,Milica,Stojanović,Ž,1990-06-30,clan-57@seds.data,2018-03-20
58,Ana,Marković,Ž,1998-03-12,clan-58@seds.data,2016-08-24
59,Tamara,Petrović,Ž,1998-10-28,clan-59@seds.data,2016-11-07
61,Marija,Pavlović,Ž,1980-01-16,clan-61@seds.data,2017-12-14
62,Aleksandar,Ilić,M,1998-02-01,clan-62@seds.data,2017-08-14
63,Aleksandar,Nikolić,M,1998-05-29,clan-63@seds.data,2016-04-02
65,Jelena,Petrović,Ž,1990-08-21,clan-65@seds.data,2016-09-18
66,Marija,Pavlović,Ž,1990-03-19,clan-66@seds.data,2017-08-19
68,Marija,Marković,Ž,1998-11-08,clan-68@seds.data,2016-12-09
69,Luka,Ilić,M,1998-05-10,clan-69@seds.data,2019-07-26
70,Ivana,Pavlović,Ž,1960-06-05,clan-70@seds.data,2017-07-21
71,Tamara,Marković,Ž,1960-08-15,clan-71@seds.data,2017-01-19
72,Luka,Ilić,M,1998-12-19,clan-72@seds.data,2017-11-21
73,Milan,Jovanović,M,1991-01-01,clan-73@seds.data,2018-02-05
74,Aleksandar,Nikolić,M,1998-07-23,clan-74@seds.data,2017-06-12
76,Marko,Stojanović,M,1990-05-08,clan-76@seds.data,2017-08-29
77,Ana,Jovanović,Ž,1990-08-29,clan-77@seds.data,2017-10-13
78,Marija,Marković,Ž,1998-11-17,clan-78@seds.data,2018-05-26
79,Ivana,Petrović,Ž,1998-09-23,clan-79@seds.data,2017-07-04
80,Marko,Marković,M,1970-12-16,clan-80@seds.data,2017-01-13
81,Marija,Pavlović,Ž,1990-07-20,clan-81@seds.data,2019-11-27
82,Ivana,Jovanović,Ž,1998-09-30,clan-82@seds.data,2016-02-09
83,Tamara,Jovanović,Ž,1980-05-09,clan-83@seds.data,2017-02-10
84,Ana,Ilić,Ž,1998-04-23,clan-84@seds.data,2016-07-15
85,Ivana,Marković,Ž,1998-04-27,clan-85@seds.data,2016-07-11
86,Luka,Pavlović,M,1990-11-09,clan-86@seds.data,2018-04-05
87,Aleksandar,Stojanović,M,1998-12-30,clan-87@seds.data,2016-07-31
88,Marija,Ilić,Ž,1960-06-27,clan-88@seds.data,2017-05-14
89,Aleksandar,Pavlović,M,1990-08-07,clan-89@seds.data,2017-06-22
90,Tamara,Pavlović,Ž,1998-09-25,clan-90@seds.data,2016-05-26
91,Milica,Nikolić,Ž,1998-02-09,clan-91@seds.data,2017-07-31
92,Aleksandar,Stojanović,M,1998-05-27,clan-92@seds.data,2017-01-18
93,Ana,Ilić,Ž,1990-07-15,clan-93@seds.data,2017-02-15
94,Ivana,Stojanović,Ž,1960-03-13,clan-94@seds.data,2016-09-29
95,Tamara,Ilić,Ž,1970-01-25,clan-95@seds.data,2016-08-21
97,Ana,Nikolić,Ž,1998-05-26,clan-97@seds.data,2016-11-14
98,Jelena,Ilić,Ž,1951-04-07,clan-98@seds.data,2017-07-26
99,Aleksandar,Pavlović,M,1990-02-08,clan-99@seds.data,2016-08-27
100,Tamara,Petrović,Ž,1998-08-13,clan-100@seds.data,2017-07-02
101,Jelena,Marković,Ž,1951-04-01,clan-101@seds.data,2016-11-13
102,Tamara,Nikolić,Ž,1990-08-30,clan-102@seds.data,2017-06-29
104,Ivana,Marković,Ž,1960-12-06,clan-104@seds.data,2017-07-05
105,Nikola,Pavlović,N,1980-02-17,clan-105@seds.data,2017-02-23
106,Marija,Pavlović,Ž,1998-06-30,clan-106@seds.data,2017-04-24
107,Milica,Jovanović,Ž,1951-06-03,clan-107@seds.data,2016-12-01
108,Marija,Petrović,Ž,1998-10-09,clan-108@seds.data,2017-06-08
109,Ana,Ilić,Ž,1970-05-22,clan-109@seds.data,2016-09-03
110,Marija,Jovanović,Ž,1960-12-14,clan-110@seds.data,2016-09-08
111,Tamara,Ilić,Ž,1970-01-18,clan-111@seds.data,2018-02-07
113,Luka,Marković,M,1998-07-21,clan-113@seds.data,2018-04-01
114,Ana,Petrović,Ž,1970-04-22,clan-114@seds.data,2017-02-02
115,Milica,Nikolić,Ž,1990-08-11,clan-115@seds.data,2016-12-27
116,Milan,Marković,N,1990-12-27,clan-116@seds.data,2017-01-06
117,Marija,Stojanović,Ž,1970-09-28,clan-117@seds.data,2016-06-02
118,Ivana,Petrović,Ž,1990-05-22,clan-118@seds.data,2016-12-06
120,Marija,Marković,Ž,1998-08-28,clan-120@seds.data,2016-11-08
121,Milica,Nikolić,Ž,1998-04-01,clan-121@seds.data,2016-06-30
122,Marko,Pavlović,M,1970-06-16,clan-122@seds.data,2017-03-15
123,Ivana,Jovanović,Ž,1990-02-26,clan-123@seds.data,2018-05-21
124,Ana,Jovanović,N,1998-10-13,clan-124@seds.data,2018-01-07
125,Nikola,Nikolić,M,1960-11-09,clan-125@seds.data,2016-12-02
127,Luka,Petrović,M,1980-10-20,clan-127@seds.data,2017-06-27
128,Marija,Jovanović,Ž,1998-08-22,clan-128@seds.data,2016-12-17
129,Nikola,Marković,M,1980-02-14,clan-129@seds.data,2017-07-16
131,Ivana,Stojanović,Ž,1960-03-22,clan-131@seds.data,2018-12-08
132,Milica,Ilić,Ž,1998-10-21,clan-132@seds.data,2016-03-24
133,Milan,Pavlović,M,1990-02-22,clan-133@seds.data,2016-10-01
134,Milica,Petrović,Ž,1960-11-24,clan-134@seds.data,2016-09-17
135,Ana,Stojanović,Ž,1998-04-15,clan-135@seds.data,2016-10-31
136,Aleksandar,Marković,M,1990-11-25,clan-136@seds.data,2016-02-01
137,Marija,Nikolić,Ž,1990-02-05,clan-137@seds.data,2016-06-09
139,Stefan,Petrović,M,1980-03-24,clan-139@seds.data,2017-07-28
140,Jelena,Jovanović,Ž,1998-03-04,clan-140@seds.data,2017-04-28
141,Marko,Pavlović,M,1990-01-14,clan-141@seds.data,2017-05-01
142,Jelena,Nikolić,Ž,1970-04-21,clan-142@seds.data,2017-08-28
143,Marija,Nikolić,Ž,1998-09-06,clan-143@seds.data,2017-06-02
144,Milica,Nikolić,Ž,1998-01-27,clan-144@seds.data,2017-07-02
145,Jelena,Ilić,Ž,1960-04-05,clan-145@seds.data,2017-12-18
146,Milica,Jovanović,Ž,1998-02-14,clan-146@seds.data,2016-07-01
147,Ana,Nikolić,Ž,1998-11-14,clan-147@seds.data,2016-08-21
148,Ivana,Petrović,Ž,1960-07-10,clan-148@seds.data,2019-05-31
149,Aleksandar,Stojanović,M,1990-09-09,clan-149@seds.data,2017-07-31
150,Aleksandar,Stojanović,M,1970-06-15,clan-150@seds.data,2016-06-08
151,Ivana,Jovanović,Ž,1960-11-06,clan-151@seds.data,2017-12-21
152,Milica,Nikolić,Ž,1998-04-03,clan-152@seds.data,2016-09-05
153,Ivana,Stojanović,Ž,1990-08-07,clan-153@seds.data,2016-12-26
154,Nikola,Ilić,M,1998-10-16,clan-154@seds.data,2016-07-21
156,Tamara,Jovanović,Ž,1970-08-07,clan-156@seds.data,2017-07-07
157,Jelena,Nikolić,Ž,1998-12-05,clan-157@seds.data,2016-03-11
158,Ana,Stojanović,Ž,1980-10-18,clan-158@seds.data,2016-09-13
159,Tamara,Ilić,Ž,1998-08-06,clan-159@seds.data,2017-04-05
160,Stefan,Jovanović,M,1951-03-30,clan-160@seds.data,2017-04-03
161,Marija,Petrović,Ž,1998-07-14,clan-161@seds.data,2019-02-28
162,Nikola,Petrović,M,1998-10-30,clan-162@seds.data,2016-12-15
163,Aleksandar,Pavlović,M,1998-09-12,clan-163@seds.data,2017-04-27
164,Aleksandar,Petrović,M,1998-01-30,clan-164@seds.data,2018-06-22
166,Ivana,Petrović,Ž,1952-01-03,clan-166@seds.data,2018-03-30
167,Stefan,Jovanović,M,1990-12-04,clan-167@seds.data,2017-02-20
168,Tamara,Marković,Ž,1998-09-12,clan-168@seds.data,2017-10-03
169,Milica,Ilić,Ž,1998-12-05,clan-169@seds.data,2016-10-19
170,Jelena,Marković,Ž,1998-07-31,clan-170@seds.data,2016-05-07
172,Ivana,Nikolić,Ž,1998-03-27,clan-172@seds.data,2017-07-29
173,Aleksandar,Ilić,N,1998-11-10,clan-173@seds.data,2017-03-16
174,Marija,Stojanović,Ž,1980-06-08,clan-174@seds.data,2017-11-06
175,Jelena,Stojanović,Ž,1951-08-31,clan-175@seds.data,2017-07-05
176,Jelena,Marković,Ž,1990-08-09,clan-176@seds.data,2016-05-19
178,Stefan,Marković,N,1980-03-12,clan-178@seds.data,2016-07-31
179,Marko,Petrović,M,1998-12-16,clan-179@seds.data,2017-06-08
180,Jelena,Nikolić,Ž,1990-06-25,clan-180@seds.data,2016-11-14
181,Aleksandar,Marković,M,1980-02-16,clan-181@seds.data,2017-08-06
182,Milan,Stojanović,M,1998-02-17,clan-182@seds.data,2017-06-25
183,Ana,Nikolić,Ž,1990-04-10,clan-183@seds.data,2017-09-27
184,Tamara,Ilić,Ž,1970-09-23,clan-184@seds.data,2017-01-04
187,Ana,Stojanović,Ž,1990-03-14,clan-187@seds.data,2017-07-05
188,Jelena,Jovanović,Ž,1998-07-24,clan-188@seds.data,2016-07-03
189,Jelena,Stojanović,Ž,1951-08-04,clan-189@seds.data,2016-10-06
190,Tamara,Ilić,Ž,1960-03-23,clan-190@seds.data,2016-12-18
191,Marija,Petrović,Ž,1980-07-03,clan-191@seds.data,2016-04-15
192,Nikola,Ilić,N,1970-05-09,clan-192@seds.data,2016-04-21
194,Marija,Stojanović,Ž,1990-12-25,clan-194@seds.data,2017-07-13
195,Marija,Jovanović,Ž,1960-07-28,clan-195@seds.data,2018-03-01
196,Nikola,Pavlović,M,1998-10-17,clan-196@seds.data,2016-05-21
197,Tamara,Jovanović,Ž,1998-09-20,clan-197@seds.data,2016-04-20
198,Marija,Nikolić,Ž,1990-04-20,clan-198@seds.data,2017-06-04
199,Tamara,Jovanović,Ž,1990-12-30,clan-199@seds.data,2018-06-19
200,Ivana,Pavlović,Ž,1951-12-05,clan-200@seds.data,2017-03-25
202,Marko,Pavlović,M,1960-05-05,clan-202@seds.data,2016-11-27
203,Milica,Stojanović,Ž,1990-10-07,clan-203@seds.data,2017-08-16
204,Ivana,Pavlović,Ž,1998-08-02,clan-204@seds.data,2017-01-10
205,Milan,Petrović,M,1998-01-28,clan-205@seds.data,2017-05-15
206,Ana,Jovanović,N,1990-05-20,clan-206@seds.data,2017-09-18
208,Ana,Petrović,Ž,1998-10-05,clan-208@seds.data,2017-10-16
209,Tamara,Petrović,Ž,1980-09-21,clan-209@seds.data,2017-11-01
210,Ana,Nikolić,Ž,1980-03-21,clan-210@seds.data,2017-02-13
211,Jelena,Marković,Ž,1951-01-23,clan-211@seds.data,2016-07-13
212,Ana,Jovanović,Ž,1998-09-21,clan-212@seds.data,2017-04-22
213,Ana,Nikolić,Ž,1970-06-18,clan-213@seds.data,2017-02-09
214,Marko,Pavlović,M,1998-01-11,clan-214@seds.data,2019-02-27
215,Marija,Stojanović,Ž,1960-02-06,clan-215@seds.data,2017-10-30
216,Aleksandar,Stojanović,M,1990-04-07,clan-216@seds.data,2016-06-22
217,Ivana,Pavlović,Ž,1990-12-09,clan-217@seds.data,2017-04-02
218,Tamara,Ilić,Ž,1960-03-27,clan-218@seds.data,2017-01-23
219,Luka,Petrović,M,1990-05-13,clan-219@seds.data,2017-04-22
220,Ana,Marković,Ž,1998-07-14,clan-220@seds.data,2017-07-02
221,Milica,Jovanović,Ž,1970-05-04,clan-221@seds.data,2016-11-15
222,Marko,Marković,M,1998-05-10,clan-222@seds.data,2017-04-12
223,Marija,Nikolić,Ž,1998-06-05,clan-223@seds.data,2017-12-11
224,Aleksandar,Marković,M,1951-12-30,clan-224@seds.data,2017-08-01
225,Marko,Ilić,M,1998-02-18,clan-225@seds.data,2017-10-08
226,Milica,Pavlović,Ž,1998-11-04,clan-226@seds.data,2016-08-30
227,Marija,Jovanović,Ž,1990-01-29,clan-227@seds.data,2017-10-30
228,Tamara,Jovanović,Ž,1998-05-06,clan-228@seds.data,2017-11-06
229,Jelena,Jovanović,Ž,1990-05-14,clan-229@seds.data,2017-08-19
230,Ana,Marković,Ž,1960-07-06,clan-230@seds.data,2018-05-08
231,Jelena,Nikolić,Ž,1998-06-10,clan-231@seds.data,2016-08-16
232,Aleksandar,Petrović,M,1951-02-06,clan-232@seds.data,2017-11-09
233,Jelena,Pavlović,Ž,1998-02-04,clan-233@seds.data,2017-10-28
234,Ivana,Ilić,Ž,1998-09-13,clan-234@seds.data,2018-05-28
235,Luka,Jovanović,M,1970-12-30,clan-235@seds.data,2018-04-29
236,Milan,Ilić,M,1970-02-16,clan-236@seds.data,2016-09-21
238,Stefan,Jovanović,M,1998-04-05,clan-238@seds.data,2016-07-20
239,Marija,Petrović,Ž,1998-04-13,clan-239@seds.data,2019-07-28
240,Aleksandar,Petrović,M,1960-12-24,clan-240@seds.data,2017-12-28
241,Aleksandar,Nikolić,M,1998-08-22,clan-241@seds.data,2016-06-20
242,Stefan,Nikolić,M,1951-01-28,clan-242@seds.data,2017-04-19
243,Aleksandar,Jovanović,M,1998-02-28,clan-243@seds.data,2016-07-15
244,Ivana,Stojanović,Ž,1960-09-09,clan-244@seds.data,2016-10-08
245,Milan,Marković,M,1990-07-16,clan-245@seds.data,2018-02-24
246,Marija,Petrović,Ž,1951-03-05,clan-246@seds.data,2017-11-30
247,Jelena,Ilić,Ž,1951-06-04,clan-247@seds.data,2017-11-01
248,Nikola,Jovanović,M,1970-09-30,clan-248@seds.data,2017-12-07
249,Ivana,Nikolić,Ž,1998-06-11,clan-249@seds.data,2016-08-24
250,Tamara,Ilić,Ž,1990-12-21,clan-250@seds.data,2016-09-22
251,Marko,Pavlović,M,1970-01-30,clan-251@seds.data,2016-10-30
252,Marko,Jovanović,M,1960-08-31,clan-252@seds.data,2016-03-18
254,Stefan,Stojanović,M,1990-10-19,clan-254@seds.data,2017-09-04
256,Luka,Pavlović,M,1990-06-09,clan-256@seds.data,2016-12-17
258,Jelena,Stojanović,Ž,1998-04-25,clan-258@seds.data,2017-10-02
259,Aleksandar,Pavlović,M,1951-06-14,clan-259@seds.data,2016-03-08
260,Jelena,Marković,Ž,1960-07-22,clan-260@seds.data,2018-04-18
261,Marko,Nikolić,M,1990-02-24,clan-261@seds.data,2016-11-16
262,Milica,Pavlović,Ž,1970-07-31,clan-262@seds.data,2017-10-24
263,Milan,Stojanović,M,1990-09-09,clan-263@seds.data,2018-02-06
264,Tamara,Ilić,N,1960-10-12,clan-264@seds.data,2016-06-21
265,Aleksandar,Jovanović,M,1998-05-18,clan-265@seds.data,2017-01-27
266,Ivana,Marković,N,1960-12-26,clan-266@seds.data,2017-02-11
267,Tamara,Stojanović,Ž,1998-12-24,clan-267@seds.data,2017-04-30
268,Luka,Ilić,M,1990-12-17,clan-268@seds.data,2018-11-05
270,Nikola,Marković,M,1998-01-26,clan-270@seds.data,2016-07-02
271,Stefan,Stojanović,M,1980-04-05,clan-271@seds.data,2017-12-05
273,Marija,Marković,Ž,1960-02-07,clan-273@seds.data,2016-03-06
274,Jelena,Petrović,Ž,1960-12-16,clan-274@seds.data,2018-08-15
275,Milica,Jovanović,Ž,1998-10-26,clan-275@seds.data,2018-04-30
276,Milica,Pavlović,Ž,1970-02-25,clan-276@seds.data,2017-03-31
277,Milan,Stojanović,M,1998-10-09,clan-277@seds.data,2017-09-17
278,Marija,Stojanović,Ž,1998-06-25,clan-278@seds.data,2016-05-21
279,Tamara,Nikolić,Ž,1990-08-11,clan-279@seds.data,2017-09-11
280,Ana,Stojanović,Ž,1990-12-06,clan-280@seds.data,2017-02-16
281,Ivana,Jovanović,Ž,1970-08-20,clan-281@seds.data,2017-03-04
283,Jelena,Jovanović,Ž,1998-04-28,clan-283@seds.data,2016-10-21
284,Marko,Pavlović,M,1951-10-12,clan-284@seds.data,2017-08-26
285,Ana,Nikolić,Ž,1998-06-02,clan-285@seds.data,2017-10-27
286,Tamara,Pavlović,Ž,1960-10-05,clan-286@seds.data,2017-08-03
287,Ivana,Petrović,Ž,1998-08-12,clan-287@seds.data,2017-06-16
288,Ana,Stojanović,Ž,1990-09-25,clan-288@seds.data,2017-12-29
289,Ana,Ilić,Ž,1951-06-05,clan-289@seds.data,2018-02-09
290,Nikola,Nikolić,M,1960-01-18,clan-290@seds.data,2017-03-02
291,Ivana,Ilić,Ž,1970-10-08,clan-291@seds.data,2018-03-31
292,Marija,Pavlović,Ž,1998-10-18,clan-292@seds.data,2016-06-26
293,Milan,Jovanović,M,1998-12-21,clan-293@seds.data,2016-07-10
296,Marija,Jovanović,Ž,1970-09-07,clan-296@seds.data,2017-11-09
297,Jelena,Ilić,Ž,1980-12-16,clan-297@seds.data,2018-04-04
298,Nikola,Petrović,M,1960-08-01,clan-298@seds.data,2017-02-09
299,Marko,Jovanović,M,1999-01-02,clan-299@seds.data,2016-12-29
300,Milan,Petrović,M,1970-07-13,clan-300@seds.data,2017-05-08
301,Tamara,Stojanović,Ž,1980-10-19,clan-301@seds.data,2016-09-28
302,Milica,Marković,Ž,1998-10-04,clan-302@seds.data,2017-04-24
303,Tamara,Nikolić,Ž,1998-09-08,clan-303@seds.data,2017-10-07
305,Tamara,Nikolić,Ž,1980-10-02,clan-305@seds.data,2017-06-29
307,Ivana,Marković,N,1951-08-13,clan-307@seds.data,2017-03-24
308,Marija,Stojanović,Ž,1960-09-03,clan-308@seds.data,2017-06-03
309,Ana,Petrović,Ž,1998-10-27,clan-309@seds.data,2016-06-19
310,Jelena,Pavlović,Ž,1951-06-27,clan-310@seds.data,2016-12-30
311,Marija,Ilić,Ž,1998-03-22,clan-311@seds.data,2017-03-05
312,Luka,Ilić,M,1998-06-26,clan-312@seds.data,2017-01-10
313,Jelena,Marković,Ž,1980-06-26,clan-313@seds.data,2016-04-03
314,Tamara,Ilić,Ž,1998-10-13,clan-314@seds.data,2016-07-12
315,Ivana,Marković,Ž,1980-02-18,clan-315@seds.data,2016-05-15
316,Stefan,Marković,M,1998-05-04,clan-316@seds.data,2017-12-01
317,Ivana,Stojanović,Ž,1990-06-10,clan-317@seds.data,2016-10-17
318,Jelena,Pavlović,Ž,1960-10-21,clan-318@seds.data,2016-06-30
319,Marija,Nikolić,Ž,1998-03-09,clan-319@seds.data,2017-10-14
320,Tamara,Nikolić,Ž,1998-01-07,clan-320@seds.data,2017-12-28
321,Milica,Nikolić,Ž,1960-11-21,clan-321@seds.data,2016-12-03
322,Jelena,Pavlović,Ž,1998-02-23,clan-322@seds.data,2016-09-05
323,Aleksandar,Nikolić,N,1980-08-27,clan-323@seds.data,2016-03-16
324,Jelena,Pavlović,Ž,1960-05-23,clan-324@seds.data,2017-12-25
326,Ana,Pavlović,Ž,1998-10-24,clan-326@seds.data,2018-08-24
327,Ivana,Nikolić,Ž,1970-12-21,clan-327@seds.data,2017-04-27
328,Ana,Stojanović,Ž,1990-10-01,clan-328@seds.data,2016-12-28
329,Luka,Petrović,M,1990-03-02,clan-329@seds.data,2017-10-10
331,Tamara,Petrović,Ž,1998-06-19,clan-331@seds.data,2017-06-08
332,Aleksandar,Nikolić,M,1971-01-07,clan-332@seds.data,2017-11-03
333,Ivana,Nikolić,Ž,1990-11-24,clan-333@seds.data,2017-12-26
334,Tamara,Petrović,Ž,1998-06-19,clan-334@seds.data,2017-06-07
335,Ana,Stojanović,Ž,1998-06-19,clan-335@seds.data,2016-08-19
336,Tamara,Pavlović,Ž,1970-03-01,clan-336@seds.data,2018-07-08
337,Jelena,Nikolić,Ž,1980-11-03,clan-337@seds.data,2016-04-07
339,Marija,Marković,Ž,1980-01-26,clan-339@seds.data,2016-10-11
340,Milica,Marković,Ž,1951-10-23,clan-340@seds.data,2017-07-02
341,Marko,Pavlović,M,1960-06-13,clan-341@seds.data,2016-09-10
342,Ivana,Stojanović,Ž,1990-03-11,clan-342@seds.data,2016-11-19
343,Marko,Nikolić,M,1998-12-01,clan-343@seds.data,2017-09-21
344,Ivana,Ilić,Ž,1998-11-23,clan-344@seds.data,2016-06-08
345,Milica,Nikolić,Ž,1980-08-28,clan-345@seds.data,2016-11-12
346,Milan,Ilić,M,1980-11-10,clan-346@seds.data,2017-03-15
347,Luka,Jovanović,M,1960-04-30,clan-347@seds.data,2016-08-11
348,Tamara,Stojanović,Ž,1970-08-03,clan-348@seds.data,2017-08-14
349,Marija,Marković,Ž,1951-01-29,clan-349@seds.data,2016-05-03
350,Ana,Petrović,Ž,1980-03-07,clan-350@seds.data,2018-01-12
351,Marko,Ilić,M,1980-12-16,clan-351@seds.data,2017-12-30
352,Marija,Jovanović,Ž,1990-02-04,clan-352@seds.data,2016-08-28
353,Ana,Marković,Ž,1998-10-22,clan-353@seds.data,2016-10-29
354,Marko,Stojanović,M,1998-05-19,clan-354@seds.data,2017-04-18
355,Nikola,Ilić,M,1998-06-11,clan-355@seds.data,2016-11-06
356,Ana,Petrović,Ž,1998-02-24,clan-356@seds.data,2017-12-01
357,Luka,Nikolić,M,1980-10-03,clan-357@seds.data,2016-08-21
358,Marko,Pavlović,M,1998-07-04,clan-358@seds.data,2016-12-10
359,Marija,Jovanović,Ž,1970-03-20,clan-359@seds.data,2017-07-26
360,Milica,Pavlović,Ž,1998-09-12,clan-360@seds.data,2016-04-24
361,Tamara,Pavlović,Ž,1990-04-17,clan-361@seds.data,2016-08-18
362,Nikola,Nikolić,M,1951-07-27,clan-362@seds.data,2016-03-02
363,Tamara,Jovanović,Ž,1961-01-03,clan-363@seds.data,2017-07-26
364,Jelena,Jovanović,Ž,1980-11-23,clan-364@seds.data,2016-03-16
365,Jelena,Nikolić,Ž,1990-02-08,clan-365@seds.data,2016-05-17
366,Marija,Marković,Ž,1961-01-02,clan-366@seds.data,2016-10-17
367,Marija,Nikolić,Ž,1980-04-04,clan-367@seds.data,2017-10-29
368,Ana,Nikolić,Ž,1990-06-06,clan-368@seds.data,2016-10-15
369,Tamara,Marković,Ž,1998-02-09,clan-369@seds.data,2019-09-18
371,Ivana,Jovanović,Ž,1998-04-17,clan-371@seds.data,2016-09-24
372,Jelena,Pavlović,Ž,1990-11-06,clan-372@seds.data,2016-01-23
373,Ana,Stojanović,Ž,1960-07-13,clan-373@seds.data,2017-11-28
374,Marija,Pavlović,Ž,1998-09-25,clan-374@seds.data,2017-01-30
375,Ivana,Petrović,Ž,1998-04-17,clan-375@seds.data,2016-04-27
376,Marija,Jovanović,Ž,1990-06-01,clan-376@seds.data,2017-11-16
377,Marko,Jovanović,M,1990-06-30,clan-377@seds.data,2018-02-06
379,Stefan,Nikolić,M,1980-06-06,clan-379@seds.data,2018-02-22
380,Milica,Stojanović,Ž,1980-04-24,clan-380@seds.data,2019-05-10
382,Milica,Petrović,N,1990-08-05,clan-382@seds.data,2017-03-20
383,Milica,Stojanović,Ž,1998-02-21,clan-383@seds.data,2016-11-23
384,Stefan,Ilić,M,1970-04-20,clan-384@seds.data,2016-02-03
385,Stefan,Stojanović,M,1951-10-30,clan-385@seds.data,2016-11-07
387,Ana,Marković,Ž,1960-08-06,clan-387@seds.data,2017-06-18
388,Marija,Ilić,Ž,1998-09-09,clan-388@seds.data,2016-06-18
389,Milan,Jovanović,M,1990-02-08,clan-389@seds.data,2017-09-11
390,Marko,Marković,M,1998-05-31,clan-390@seds.data,2016-11-05
391,Ivana,Ilić,Ž,1990-02-24,clan-391@seds.data,2018-05-22
392,Marija,Stojanović,Ž,1998-10-14,clan-392@seds.data,2018-01-12
394,Ana,Nikolić,Ž,1998-11-26,clan-394@seds.data,2017-04-24
395,Luka,Petrović,M,1951-10-09,clan-395@seds.data,2017-01-21
396,Ivana,Jovanović,Ž,1980-02-27,clan-396@seds.data,2018-06-27
397,Ivana,Ilić,Ž,1990-03-22,clan-397@seds.data,2017-01-04
